aardwolves	aardwolf
beefier	beefy
beefiest	beefy
been	be
beerier	beery
beeriest	beery
beeves	beef
befallen	befall
befell	befall
befitted	befit
befitting	befit
befogged	befog
befogging	befog
began	begin
begat	beget
begetting	beget
begged	beg
begging	beg
beginning	begin
begirt	begird
begot	beget
begotten	beget
begun	begin
beheld	behold
beholden	behold
behooves	behoof
bejewelled	bejewel
bejewelling	bejewel
bellied	belly
belly-flopped	belly-flop
belly-flopping	belly-flop
belying	belie
bendier	bendy
bendiest	bendy
benefitted	benefit
benefitting	benefit
benempt	bename
bent	bend
berried	berry
bersaglieri	bersagliere
besetting	beset
besought	beseech
bespoke	bespeak
bespoken	bespeak
best	good
bestirred	bestir
bestirring	bestir
bestrewn	bestrew
bestrid	bestride
bestridden	bestride
bestrode	bestride
betaken	betake
bethought	bethink
betook	betake
betted	bet
better	good
betting	bet
bevelled	bevel
bevelling	bevel
bhishties	bheesty
biassed	bias
biassing	bias
bibliothecae	bibliotheca
bicennaries	bicentenary
bidden	bid
bidding	bid
bigger	big
biggest	big
bijoux	bijou
bilboes	bilbo
billets-doux	billet-doux
billfishes	billfish
bimboes	bimbo
bing	bing
binned	bin
binning	bin
bird-dogged	bird-dog
bird-dogging	bird-dog
bisectrices	bisectrix
bit	bite
bitchier	bitchy
bitchiest	bitchy
biter	biter
bitted	bit
bitten	bite
bittier	bitty
bittiest	bitty
bitting	bit
bivouacked	bivouac
bivouacking	bivouac
blabbed	blab
blabbing	blab
blackberried	blackberry
blackfeet	blackfoot
blackfishes	blackfish
blacklegged	blackleg
blacklegging	blackleg
blastemata	blastema
blastulae	blastula
blatted	blat
blatting	blat
blearier	bleary
bleariest	bleary
bled	bleed
blest	bless
blew	blow
blew one's nose	blow one's nose
blindfishes	blindfish
blipped	blip
blipping	blip
blobbed	blob
blobbing	blob
bloodied	bloody
bloodier	bloody
bloodiest	bloody
bloodthirstier	bloodthirsty
bloodthirstiest	bloodthirsty
blotted	blot
blotting	blot
blowfishes	blowfish
blowier	blowy
blowiest	blowy
blowing one's nose	blow one's nose
blown	blow
blows one's nose	blow one's nose
blowsier	blowsy
blowsiest	blowsy
blowzier	blowzy
blowziest	blowzy
blubbed	blub
blubbing	blub
blue-pencilled	blue-pencil
blue-pencilling	blue-pencil
bluefishes	bluefish
bluer	blue
bluest	blue
blurred	blur
blurring	blur
boarfishes	boarfish
bobbed	bob
bobbing	bob
bodied	body
bogged down	bog down
bogged-down	bog-down
bogging down	bog down
bogging-down	bog-down
bogs down	bog down
bogs-down	bog-down
bok	boschbok
boleti	boletus
bolivares	bolivar
bolsheviki	bolshevik
bonefishes	bonefish
boner	boner
bongoes	bongo
bonier	bony
boniest	bony
bonitoes	bonito
bonnier	bonny
bonniest	bonny
booby-trapped	booby-trap
booby-trapping	booby-trap
booklice	booklouse
bookshelves	bookshelf
bootlegged	bootleg
bootlegging	bootleg
boozier	boozy
booziest	boozy
bopped	bop
bopping	bop
boraces	borax
borborygmi	borborygmus
bordereaux	bordereau
bore	bear
born	bear
borne	bear
boskier	bosky
boskiest	bosky
bossier	bossy
bossiest	bossy
botargoes	botargo
botchier	botchy
botchiest	botchy
bother	bother
bottle-fed	bottle-feed
bought	buy
bouncier	bouncy
bounciest	bouncy
bound	bind
bounder	bounder
bower	bower
box-kodaks	box kodak
boxfishes	boxfish
brachia	brachium
bragged	brag
bragging	brag
brainchildren	brainchild
brainier	brainy
brainiest	brainy
branchiae	branchia
brants	brant
brashier	brashy
brashiest	brashy
brassier	brassy
brassiest	brassy
bravadoes	bravado
bravoes	bravo
brawnier	brawny
brawniest	brawny
breast-fed	breast-feed
breathier	breathy
breathiest	breathy
bred	breed
breezier	breezy
breeziest	breezy
bregmata	bregma
brethren	brother
brevetted	brevet
brevetting	brevet
brimmed	brim
brimming	brim
brinier	briny
briniest	briny
britisher	britisher
broadcast media	broadcast medium
broadcaster	broadcaster
broadleaves	broadleaf
broke	break
broken	break
bronchi	bronchus
brooder	brooder
broodier	broody
broodiest	broody
brothers-in-law	brother-in-law
brought	bring
browbeaten	browbeat
brutified	brutify
bryozoa	bryozoan
bubblier	bubbly
bubbliest	bubbly
buboes	bubo
buckoes	bucko
buckteeth	bucktooth
budded	bud
budding	bud
buffaloes	buffalo
bugged	bug
buggier	buggy
buggiest	buggy
bugging	bug
built	build
bulkier	bulky
bulkiest	bulky
bullae	bulla
bulldogging	bulldog
bullied	bully
bullshitted	bullshit
bullshitting	bullshit
bullwhipped	bullwhip
bullwhipping	bullwhip
bullyragged	bullyrag
bullyragging	bullyrag
bummed	bum
bumming	bum
bumpier	bumpy
bumpiest	bumpy
bunchier	bunchy
bunchiest	bunchy
bunde	bund
bureaux	bureau
bureaux de change	bureau de change
buried	bury
burlier	burly
burliest	burly
burnt	burn
burred	bur
burrier	burry
burriest	burry
burring	bur
bursae	bursa
burster	burster
bushbok	boschbok
bushboks	boschbok
bushelled	bushel
bushelling	bushel
bushier	bushy
bushiest	bushy
busied	busy
busier	busy
busiest	busy
busses	bus
buster	buster
bustier	busty
bustiest	busty
butterfishes	butterfish
bypast	bypass
byssi	byssus
caballed	cabal
caballing	cabal
cacti	cactus
caddied	caddie
caddies	caddie
caddying	caddie
caducei	caduceus
caeca	caecum
caesurae	caesura
cagier	cagey
cagiest	cagey
calami	calamus
calathi	calathus
calcanei	calcaneum
calces	calx
calcified	calcify
calculi	calculus
caldaria	caldarium
calices	calix
calicoes	calico
calli	callus
calves	calf
calyces	calyx
cambia	cambium
came	come
camerae	camera
camper	camper
canaliculi	canaliculus
canalled	canal
canalling	canal
cancelled	cancel
cancelling	cancel
candelabra	candelabrum
candied	candy
candlefishes	candlefish
canned	can
cannier	canny
canniest	canny
canning	can
canopied	canopy
canter	canter
canthi	canthus
cantier	canty
cantiest	canty
canulae	canula
canzoni	canzone
capita	caput
capitula	capitulum
capped	cap
capping	cap
capricci	capriccio
carabinieri	carabiniere
carbonadoes	carbonado
carburetted	carburet
carburetting	carburet
carcinomata	carcinoma
cargoes	cargo
carides	caryatid
carillonned	carillon
carillonning	carillon
carinae	carina
carnied	carny
carnified	carnify
caroli	carolus
carolled	carol
carolling	carol
carpi	carpus
carpogonia	carpogonium
carried	carry
carryings-on	carrying-on
caryopses	caryopsis
caryopsides	caryopsis
casefied	casefy
caster	caster
castrati	castrato
catabases	catabasis
cataclases	cataclasis
cataloes	catalo
catalyses	catalysis
catchier	catchy
catchiest	catchy
catenae	catena
catfishes	catfish
cathari	cathar
cathexes	cathexis
catnapped	catnap
catnapping	catnap
cattaloes	cattalo
catted	cat
cattier	catty
cattiest	catty
catting	cat
caudices	caudex
caught	catch
caules	caulis
cavatine	cavatina
cavefishes	cavefish
cavetti	cavetto
cavilled	cavil
cavilling	cavil
cavo-rilievi	cavo-rilievo
ceca	cecum
cellae	cella
cembali	cembalo
centesimi	centesimo
centra	centrum
cephalothoraces	cephalothorax
cer	cer
cercariae	cercaria
cercariiae	cercaria
cerci	cercus
cerebella	cerebellum
cerebra	cerebrum
certified	certify
cervices	cervix
cestuses	caestus
cesurae	cesura
chadarim	cheder
chaetae	chaeta
chaises longues	chaise longue
chalazae	chalaza
challoth	hallah
chalutzim	chalutz
chancier	chancy
chanciest	chancy
channelled	channel
channelling	channel
chapaties	chapati
chapatties	chapatti
chapeaux	chapeau
chapped	chap
chapping	chap
charier	chary
chariest	chary
charred	char
charring	char
chasidim	chasid
chassidim	chassid
chateaux	chateau
chatted	chat
chattier	chatty
chattiest	chatty
chatting	chat
chazanim	chazan
chedarim	cheder
cheekier	cheeky
cheekiest	cheeky
cheerier	cheery
cheeriest	cheery
cheesier	cheesy
cheesiest	cheesy
chefs-d'ouvre	chef-d'ouvre
chelae	chela
chelicerae	chelicera
cherubim	cherub
chestier	chesty
chestiest	chesty
chevaux-de-frise	cheval-de-frise
chevied	chivy
chevies	chivy
chevying	chivy
chewier	chewy
chewiest	chewy
chiasmata	chiasma
chiasmi	chiasmus
chid	chide
chidden	chide
children	child
chillier	chilly
chillies	chilli
chilliest	chilly
chinese eddoes	chinese eddo
chinned	chin
chinning	chin
chintzier	chintzy
chintziest	chintzy
chipped	chip
chippier	chippy
chippiest	chippy
chipping	chip
chiselled	chisel
chiselling	chisel
chitarroni	chitarrone
chitchatted	chitchat
chitchatting	chitchat
chivied	chivy
chivved	chiv
chivvied	chivy
chivvies	chivy
chivving	chiv
chivvying	chivy
chlamydes	chlamys
chlamyses	chlamys
chondrified	chondrify
chondromata	chondroma
choosier	choosy
choosiest	choosy
chopped	chop
choppier	choppy
choppiest	choppy
chopping	chop
choragi	choragus
choriambi	choriambus
chose	choose
chosen	choose
choux	chou
chromonemata	chromonema
chrysalides	chrysalis
chubbier	chubby
chubbiest	chubby
chuffier	chuffy
chuffiest	chuffy
chugged	chug
chugging	chug
chummed	chum
chummier	chummy
chummiest	chummy
chumming	chum
chunkier	chunky
chunkiest	chunky
churchier	churchy
churchiest	churchy
chuvashes	chuvash
ciboria	ciborium
cicadae	cicada
cicale	cicala
cicatrices	cicatrix
ciceroni	cicerone
cicisbei	cicisbeo
cilia	cilium
cimices	cimex
cineraria	cinerarium
cingula	cingulum
cirri	cirrus
cirrocumuli	cirrocumulus
cirrostrati	cirrostratus
ciscoes	cisco
cisternae	cisterna
citified	citify
clad	clothe
cladding	clad
clammed	clam
clammier	clammy
clammiest	clammy
clamming	clam
clani	clarino
clanos	clarino
clapped	clap
clapping	clap
clarified	clarify
claroes	claro
classier	classy
classiest	classy
classified	classify
cleanlier	cleanly
cleanliest	cleanly
cleft	cleave
clemmed	clem
clemming	clem
clepsydrae	clepsydra
clept	clepe
clerklier	clerkly
clerkliest	clerkly
clinandria	clinandrium
clingfishes	clingfish
clipped	clip
clipping	clip
clitella	clitellum
cloacae	cloaca
clogged	clog
clogging	clog
clopped	clop
clopping	clop
clostridia	clostridium
clotted	clot
clotting	clot
cloudier	cloudy
cloudiest	cloudy
clove	cleave
cloven	cleave
cloverleaves	cloverleaf
clubbed	club
clubbier	clubby
clubbiest	clubby
clubbing	club
clumsier	clumsy
clumsiest	clumsy
clung	cling
clypei	clypeus
co-opted	coopt
co-opting	coopt
co-opts	coopts
co-ordinate	coordinate
co-ordinated	coordinate
co-ordinates	coordinate
co-ordinating	coordinate
co-starred	co-star
co-starring	co-star
coagula	coagulum
coalfishes	coalfish
cocci	coccus
coccyges	coccyx
cochleae	cochlea
cockier	cocky
cockiest	cocky
cockneyfied	cockneyfy
codded	cod
codding	cod
coder	coder
codfishes	codfish
codices	codex
codified	codify
coelentera	coelenteron
coenuri	coenurus
cogged	cog
cogging	cog
cognomina	cognomen
cognosenti	cognosente
coiffed	coif
coiffing	coif
cola	colon
coleorhizae	coleorhiza
collegia	collegium
collied	colly
collier	colly
colliest	colly
colloquia	colloquium
colluvia	colluvium
collyria	collyrium
colones	colon
colossi	colossus
columbaria	columbarium
columellae	columella
comae	coma
comatulae	comatula
combatted	combat
combatting	combat
comedones	comedo
comelier	comely
comeliest	comely
comfier	comfy
comfiest	comfy
comics	comic strip
commandoes	commando
committed	commit
committing	commit
compelled	compel
compelling	compel
complied	comply
complotted	complot
complotting	complot
concertanti	concertante
concerti	concerto
concerti grossi	concerto grosso
concertini	concertino
conchae	concha
concurred	concur
concurring	concur
condottieri	condottiere
condylomata	condyloma
confabbed	confab
confabbing	confab
conferred	confer
conferring	confer
confervae	conferva
congii	congius
conidia	conidium
conjunctivae	conjunctiva
conned	con
conning	con
conquistadores	conquistador
consortia	consortium
contagia	contagium
continua	continuum
contralti	contralto
controlled	control
controlling	control
conversazioni	conversazione
convolvuli	convolvulus
cooks-general	cook-general
copied	copy
copped	cop
copping	cop
copulae	copula
coquetted	coquet
coquetting	coquet
corbiculae	corbicula
coria	corium
corneae	cornea
cornier	corny
corniest	corny
cornua	cornu
coronae	corona
corpora	corpus
corpora lutea	corpus luteum
corpora striata	corpus striatum
corralled	corral
corralling	corral
corrigenda	corrigendum
cortices	cortex
cortinae	cortina
corybantes	corybant
coryphaei	coryphaeus
cosier	cosy
cosiest	cosy
costae	costa
costlier	costly
costliest	costly
costumer	costumer
cothurni	cothurnus
counselled	counsel
counselling	counsel
counterfeiter	counterfeiter
counterplotted	counterplot
counterplotting	counterplot
countersank	countersink
countersunk	countersink
court-martialled	court-martial
court-martialling	court-martial
courtlier	courtly
courtliest	courtly
courts martial	court martial
couteaux	couteau
cowfishes	cowfish
coxae	coxa
cozier	cozy
coziest	cozy
crabbed	crab
crabbier	crabby
crabbiest	crabby
crabbing	crab
cracker	cracker
craftier	crafty
craftiest	crafty
craggier	craggy
craggiest	craggy
cramboes	crambo
crammed	cram
cramming	cram
crania	cranium
crankier	cranky
crankiest	cranky
crapped	crap
crapping	crap
crases	crasis
crasher	crasher
crawfishes	crawfish
crawlier	crawly
crawliest	crawly
crayfishes	crayfish
crazier	crazy
craziest	crazy
creamer	creamer
creamier	creamy
creamiest	creamy
credenda	credendum
creepier	creepy
creepiest	creepy
crematoria	crematorium
crept	creep
crescendi	crescendo
cribbed	crib
cribbing	crib
cribella	cribellum
cried	cry
crises	crisis
crispier	crispy
crispiest	crispy
crissa	crissum
cristae	crista
criteria	criterion
cropped	crop
cropping	crop
crossbred	crossbreed
crosscutting	crosscut
cruces	crux
crucified	crucify
crumbier	crumby
crumbiest	crumby
crumblier	crumbly
crumbliest	crumbly
crummier	crummy
crummiest	crummy
crura	crus
crusadoes	crusado
crustier	crusty
crustiest	crusty
cruzadoes	cruzado
crying	cry
cryings	cry
ctenidia	ctenidium
cubbed	cub
cubbing	cub
cubicula	cubiculum
cudgelled	cudgel
cudgelling	cudgel
culices	culex
culpae	culpa
culs-de-sac	cul-de-sac
culti	cultus
cumuli	cumulus
cumulonimbi	cumulonimbus
cumulostrati	cumulostratus
cupelled	cupel
cupelling	cupel
cupped	cup
cupping	cup
curetted	curet
curettes	curet
curetting	curet
curiae	curia
curlier	curly
curliest	curly
curricula	curriculum
curried	curry
curst	curse
curtsied	curtsy
curvetted	curvet
curvetting	curvet
custodes	custos
customer	customer
cuter	cute
cutes	cutis
cuticulae	cuticula
cutting	cut
cuttlefishes	cuttlefish
cyclopes	cyclops
cycloses	cyclosis
cylices	cylix
cylikes	cylix
cymae	cyma
cymatia	cymatium
cypselae	cypsela
cysticerci	cysticercus
dabbed	dab
dabbing	dab
dadoes	dado
daffier	daffy
daffiest	daffy
dagged	dag
dagging	dag
dagoes	dago
daintier	dainty
daintiest	dainty
dallied	dally
dammed	dam
damming	dam
damnified	damnify
damselfishes	damselfish
dandier	dandy
dandiest	dandy
dandified	dandify
dapped	dap
dapping	dap
data	datum
daughters-in-law	daughter-in-law
daymio	daimio
daymios	daimio
deadlier	deadly
deadliest	deadly
dealer	dealer
dealfishes	dealfish
dealt	deal
debarred	debar
debarring	debar
debugged	debug
debugging	debug
debussed	debus
debusses	debus
debussing	debus
decalcified	decalcify
decemviri	decemvir
decennia	decennium
deciduae	decidua
declassified	declassify
decontrolled	decontrol
decontrolling	decontrol
decried	decry
deep-freeze	deepfreeze
deep-freezed	deepfreeze
deep-freezes	deepfreeze
deep-fried	deep-fry
deeper	deeply
deferred	defer
deferring	defer
defied	defy
definienda	definiendum
definientia	definiens
degassed	degas
degasses	degas
degassing	degas
dehumidified	dehumidify
deified	deify
delphinia	delphinium
demitted	demit
demitting	demit
demobbed	demob
demobbing	demob
demulsified	demulsify
demurred	demur
demurring	demur
demystified	demystify
denarii	denarius
denazified	denazify
denied	deny
denitrified	denitrify
denned	den
denning	den
dentalia	dentalium
dermatoses	dermatosis
descried	descry
deserter	deserter
desiderata	desideratum
desperadoes	desperado
deterred	deter
deterring	deter
detoxified	detoxify
devilfishes	devilfish
devilled	devil
devilling	devil
devitrified	devitrify
dewier	dewy
dewiest	dewy
diaereses	diaeresis
diaerses	diaeresis
diagnoses	diagnosis
diagrammed	diagram
diagramming	diagram
dialled	dial
dialling	dial
dialyses	dialysis
diaphyses	diaphysis
diapophyses	diapophysis
diarthroses	diarthrosis
diastalses	diastalsis
diastases	diastasis
diastemata	diastema
diathses	diathesis
diazoes	diazo
dibbed	dib
dibbing	dib
dibbukkim	dibbuk
dichasia	dichasium
dicier	dicey
diciest	dicey
dicta	dictum
did	do
didoes	dido
diereses	dieresis
dieses	diesis
differentiae	differentia
digging	dig
dignified	dignify
dilettanti	dilettante
dilly-dallied	dilly-dally
diluvia	diluvium
dimer	dimer
dimmed	dim
dimmer	dim
dimmest	dim
dimming	dim
dingier	dingy
dingiest	dingy
dingoes	dingo
dinkier	dinky
dinkiest	dinky
dinned	din
dinning	din
diplococci	diplococcus
dipped	dip
dippier	dippy
dippiest	dippy
dipping	dip
directors-general	director-general
dirtied	dirty
dirtier	dirty
dirtiest	dirty
disannulled	disannul
disannulling	disannul
disbarred	disbar
disbarring	disbar
disbudded	disbud
disbudding	disbud
disci	discus
discoboli	discobolos
disembodied	disembody
disembowelled	disembowel
disembowelling	disembowel
disenthralled	disenthral
disenthralling	disenthral
disenthralls	disenthral
disenthrals	disenthrall
dishevelled	dishevel
dishevelling	dishevel
dishier	dishy
dishiest	dishy
disinterred	disinter
disinterring	disinter
dispelled	dispel
dispelling	dispel
disqualified	disqualify
dissatisfied	dissatisfy
distilled	distil
distilling	distil
dive	diva
diversified	diversify
diverticula	diverticulum
divertimenti	divertimento
divvied	divvy
dizzied	dizzy
dizzier	dizzy
dizziest	dizzy
djinn	djinni
dodgier	dodgy
dodgiest	dodgy
dodoes	dodo
dogfishes	dogfish
dogged	dog
dogging	dog
doglegged	dogleg
doglegging	dogleg
dogmata	dogma
dogteeth	dogtooth
dollarfishes	dollarfish
dollied	dolly
domatia	domatium
dominoes	domino
done	do
donned	don
donning	don
dopier	dopey
dopiest	dopey
dormice	dormouse
dorsa	dorsum
dotted	dot
dottier	dotty
dottiest	dotty
dotting	dot
doughier	doughy
doughiest	doughy
dought	dow
doughtier	doughty
doughtiest	doughty
dove	dive
dowdier	dowdy
dowdiest	dowdy
dowier	dowie
dowiest	dowie
downer	downer
downier	downy
downiest	downy
dozier	dozy
doziest	dozy
drabbed	drab
drabber	drab
drabbest	drab
drabbing	drab
drachmae	drachma
draftier	drafty
draftiest	drafty
dragged	drag
draggier	draggy
draggiest	draggy
dragging	drag
drank	drink
draughtier	draughty
draughtiest	draughty
drawknives	drawknife
drawn	draw
dreamier	dreamy
dreamiest	dreamy
dreamt	dream
drearier	dreary
dreariest	dreary
dreggier	dreggy
dreggiest	dreggy
dresser	dresser
dressier	dressy
dressiest	dressy
drew	draw
dried	dry
drier	dry
driest	dry
dripped	drip
drippier	drippy
drippiest	drippy
dripping	drip
drivelled	drivel
drivelling	drivel
driven	drive
dropped	drop
dropping	drop
drosophilae	drosophila
drove	drive
drowsier	drowsy
drowsiest	drowsy
drubbed	drub
drubbing	drub
drugged	drug
drugging	drug
drumfishes	drumfish
drummed	drum
drumming	drum
drunk	drink
dryades	dryad
dryer	dry
dryest	dry
dubbed	dub
dubbing	dub
duelled	duel
duelling	duel
dug	dig
dui	duo
dulcified	dulcify
dummied	dummy
dumpier	dumpy
dumpiest	dumpy
dunned	dun
dunner	dun
dunnest	dun
dunning	dun
duona	duodenum
duonas	duodenum
dupondii	dupondius
duskier	dusky
duskiest	dusky
dustier	dusty
dustiest	dusty
duumviri	duumvir
dwarves	dwarf
dwelt	dwell
dybbukkim	dybbuk
dying	die
earlier	early
earliest	early
earthier	earthy
earthiest	earthy
earthlier	earthly
earthliest	earthly
easied	easy
easier	easy
easiest	easy
easter	easter
eastsider	eastsider
eaten	eat
eavesdropped	eavesdrop
eavesdropping	eavesdrop
ecchymoses	ecchymosis
ecclesiae	ecclesia
ecdyses	ecdysis
echidnae	echidna
echini	echinus
echinococci	echinococcus
echoes	echo
ectozoa	ectozoan
eddied	eddy
eddoes	eddo
edemata	edema
edger	edger
edgier	edgy
edgiest	edgy
edified	edify
eerier	eerie
eeriest	eerie
effluvia	effluvium
ego-tripped	ego-trip
ego-tripping	ego-trip
eidola	eidolon
eisegeses	eisegesis
eisteddfodau	eisteddfod
electrified	electrify
elenchi	elenchus
ellipses	ellipsis
eluvia	eluvium
elves	elf
elytra	elytron
embargoes	embargo
embedded	embed
embedding	embed
embodied	embody
emboli	embolus
embussed	embus
embusses	embus
embussing	embus
emitted	emit
emitting	emit
empanelled	empanel
empanelling	empanel
emphases	emphasis
emporia	emporium
emptied	empty
emptier	empty
emptiest	empty
emulsified	emulsify
enamelled	enamel
enamelling	enamel
enarthroses	enarthrosis
encephala	encephalon
encephalitides	encephalitis
encephalomata	encephaloma
enchiridia	enchiridion
enchondromata	enchondroma
encomia	encomium
endamebae	endameba
endamoebae	endamoeba
endocardia	endocardium
endocrania	endocranium
endometria	endometrium
endostea	endosteum
endostoses	endostosis
endothecia	endothecium
endothelia	endothelium
endotheliomata	endothelioma
endozoa	endozoan
enemata	enema
englutted	englut
englutting	englut
enneahedra	enneahedron
enrolled	enrol
enrolling	enrol
entamebae	entameba
entamoebae	entamoeba
entases	entasis
entera	enteron
enthralled	enthral
enthralling	enthral
entia	ens
entozoa	entozoan
entrammelled	entrammel
entrammelling	entrammel
entrapped	entrap
entrapping	entrap
envied	envy
enwound	enwind
enwrapped	enwrap
enwrapping	enwrap
epencephala	epencephalon
epentheses	epenthesis
epexegeses	epexegesis
ephemera	ephemeron
ephemerae	ephemera
ephemerides	ephemeris
ephori	ephor
epicalyces	epicalyx
epicanthi	epicanthus
epicardia	epicardium
epicedia	epicedium
epicleses	epiclesis
epididymides	epididymis
epigastria	epigastrium
