'hood	noun. (slang) a neighborhood
140th	adjective. the ordinal number of one hundred forty in counting order
144	noun. twelve dozen
145	adjective. being five more than one hundred forty
145th	adjective. the ordinal number of one hundred forty-five in counting order
14th	adjective. coming next after the thirteenth in position
15	noun. the cardinal number that is the sum of fourteen and one | adjective. being one more than fourteen
15 august 1945	noun. the date of Allied victory over Japan, World War II
15 may organization	noun. a terrorist organization formed in 1979 by a faction of the Popular Front for the Liberation of Palestine but disbanded in the 1980s when key members left to join a faction of al-Fatah
15 minutes	noun. a quarter of an hour
150	adjective. being ten more than one hundred forty
150th	adjective. the ordinal number of one hundred fifty in counting order
1530s	noun. the decade from 1530 to 1539
155	adjective. being five more than one hundred fifty
155th	adjective. the ordinal number of one hundred fifty-five in counting order
15th	adjective. coming next after the fourteenth and just before the sixteenth in position
16	noun. the cardinal number that is the sum of fifteen and one | adjective. being one more than fifteen
16 pf	noun. a self-report personality inventory developed by Raymond B. Cattell to measure the 16 personality dimensions that emerged from his factor analysis of a wide range of traits
160	adjective. being ten more than one hundred fifty
160th	adjective. the ordinal number of one hundred sixty in counting order
165	adjective. being five more than one hundred sixty
165th	adjective. the ordinal number of one hundred sixty-five in counting order
16th	adjective. coming next after the fifteenth in position
17	noun. the cardinal number that is the sum of sixteen and one | adjective. being one more than sixteen
17 november	noun. a Marxist-Leninist terrorist organization in Greece that is violently opposed to imperialism and capitalism and NATO and the United States; an active terrorist group during the 1980s
170	adjective. being ten more than one hundred sixty
170th	adjective. the ordinal number of one hundred seventy in counting order
1728	noun. a cardinal number equal to one dozen gross
175	adjective. being five more than one hundred seventy
1750s	noun. the decade from 1750 to 1759
175th	adjective. the ordinal number of one hundred seventy-five in counting order
1760s	noun. the decade from 1760 to 1769
1770s	noun. the decade from 1770 to 1779
1780s	noun. the decade from 1780 to 1789
1790s	noun. the decade from 1790 to 1799
17th	adjective. coming next after the sixteenth in position
18	noun. the cardinal number that is the sum of seventeen and one | adjective. being one more than seventeen
18-karat gold	noun. an alloy that contains 75 per cent gold
180	adjective. being ten more than one hundred seventy
180th	adjective. the ordinal number of one hundred eighty in counting order
1820s	noun. the decade from 1820 to 1829
1830s	noun. the decade from 1830 to 1839
1840s	noun. the decade from 1840 to 1849
1850s	noun. the decade from 1850 to 1859
1860s	noun. the decade from 1860 to 1869
1870s	noun. the decade from 1870 to 1879
1880s	noun. the decade from 1880 to 1889
1890s	noun. the decade from 1890 to 1899
18th	adjective. coming next after the seventeenth in position
19	noun. the cardinal number that is the sum of eighteen and one | adjective. being one more than eighteen
190	adjective. being ten more than one hundred eighty
1900s	noun. the decade from 1900 to 1909
190th	adjective. the ordinal number of one hundred eighty-five in counting order
1920s	noun. the decade from 1920 to 1929
1930s	noun. the decade from 1930 to 1939
1940s	noun. the decade from 1940 to 1949
1950s	noun. the decade from 1950 to 1959
1960s	noun. the decade from 1960 to 1969
1970s	noun. the decade from 1970 to 1979
1980s	noun. the decade from 1980 to 1989
1990s	noun. the decade from 1990 to 1999
19th	adjective. coming next after the eighteenth in position
1st	adjective. indicating the beginning unit in a series
1st baron beaverbrook	noun. British newspaper publisher and politician (born in Canada); confidant of Winston Churchill (1879-1964)
1st baron verulam	noun. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
1st class	noun. mail that includes letters and postcards and packages sealed against inspection
1st earl attlee	noun. British statesman and leader of the Labour Party who instituted the welfare state in Britain (1883-1967)
1st earl baldwin of bewdley	noun. English statesman; member of the Conservative Party (1867-1947)
1st earl of balfour	noun. English statesman; member of the Conservative Party (1848-1930)
1st lieutenant	noun. a commissioned officer in the Army or Air Force or Marines ranking above a 2nd lieutenant and below a captain
1st viscount montgomery of alamein	noun. English general during World War II; won victories over Rommel in North Africa and led British ground forces in the invasion of Normandy (1887-1976)
1st-class mail	noun. mail that includes letters and postcards and packages sealed against inspection
2	noun. the cardinal number that is the sum of one and one or a numeral representing this number | adjective. being one more than one
2 chronicles	noun. the second of two Old Testament books telling the history of Judah and Israel until the return from the Babylonian Captivity in 536 BC
2 esdras	noun. an Apocryphal book of angelic revelations
2 kings	noun. the second of two Old Testament books telling the histories of the kings of Judah and Israel
2 maccabees	noun. an Apocryphal book describing the life of Judas Maccabaeus
2 samuel	noun. the second of two books of the Old Testament that tell of Saul and David
2-dimensional	adjective. lacking the expected range or depth; not designed to give an illusion or depth
2-hitter	noun. a game in which a pitcher allows the opposing team only 2 hits
2-hydroxybenzoic acid	noun. a white crystalline substance with a bitter aftertaste; used as a fungicide or in making aspirin or dyes or perfumes
2-methylpropenoic acid	noun. an unsaturated acid (C4H6O2) used to make resins and plastics
20	noun. the cardinal number that is the sum of nineteen and one | adjective. denoting a quantity consisting of 20 items or units
20/20	noun. normal visual acuity, as measured by the ability to read charts at a distance of 20 feet
200	adjective. being ten more than one hundred ninety
200th	adjective. the ordinal number of two hundred in counting order
20th	adjective. coming next after the nineteenth in position
21	noun. the cardinal number that is the sum of twenty and one | adjective. being one more than twenty
21st	adjective. coming next after the twentieth in position
22	noun. the cardinal number that is the sum of twenty-one and one | adjective. being two more than twenty
22-karat gold	noun. an alloy that contains 87 per cent gold
22nd	adjective. coming next after the twenty-first in position
23	noun. the cardinal number that is the sum of twenty-two and one | adjective. being three more than twenty
23rd	adjective. coming next after the twenty-second in position
24	noun. the cardinal number that is the sum of twenty-three and one | adjective. being four more than twenty
24-hour interval	noun. time for Earth to make a complete rotation on its axis
24-karat gold	noun. 100 per cent gold
24/7	noun. uptime is 24 hours a day 7 days a week
24th	adjective. coming next after the twenty-third in position
25	noun. the cardinal number that is the sum of twenty-four and one | adjective. being five more than twenty
25th	adjective. coming next after the twenty-fourth in position
26	noun. the cardinal number that is the sum of twenty-five and one | adjective. being six more than twenty
26th	adjective. coming next after the twenty-fifth in position
27	noun. the cardinal number that is the sum of twenty-six and one | adjective. being seven more than twenty
27th	adjective. coming next after the twenty-sixth in position
28	noun. the cardinal number that is the sum of twenty-seven and one | adjective. being eight more than twenty
28th	adjective. coming next after the twenty-seventh in position
29	noun. the cardinal number that is the sum of twenty-eight and one | adjective. being nine more than twenty
29th	adjective. coming next after the twenty-eighth in position
2d	adjective. coming next after the first in position in space or time or degree or magnitude
2nd	adjective. coming next after the first in position in space or time or degree or magnitude
2nd lieutenant	noun. a commissioned officer in the Army or Air Force or Marine Corps holding the lowest rank
3	noun. the cardinal number that is the sum of one and one and one | adjective. being one more than two
3-d	noun. a movie with images having three dimensional form or appearance | noun. having a three-dimensional form or appearance
3-dimensional	adjective. involving or relating to three dimensions or aspects; giving the illusion of depth
3-hitter	noun. a game in which a pitcher allows the opposing team only 3 hits
3-membered	adjective. of a chemical compound having a ring with three members
30	noun. the cardinal number that is the product of ten and three | adjective. being ten more than twenty
30 minutes	noun. a half of an hour
300	adjective. being one hundred more than two hundred
300th	adjective. the ordinal number of three hundred in counting order
30th	adjective. coming next after the twenty-ninth in position
31	adjective. being one more than thirty
31st	adjective. coming next after the thirtieth in position
32	adjective. being two more than thirty
32nd	adjective. the ordinal number of thirty-two in counting order
33	adjective. being three more than thirty
33rd	adjective. the ordinal number of thirty-three in counting order
34	adjective. being four more than thirty
34th	adjective. the ordinal number of thirty-four in counting order
35	adjective. being five more than thirty
35th	adjective. the ordinal number of thirty-five in counting order
36	adjective. being six more than thirty
365 days	noun. a year that is not a leap year
366 days	noun. a calendar year with an extra day added in February
36th	adjective. the ordinal number of thirty-six in counting order
37	adjective. being seven more than thirty
37th	adjective. the ordinal number of thirty-seven in counting order
38	adjective. being eight more than thirty
38th	adjective. the ordinal number of thirty-eight in counting order
39	adjective. being nine more than thirty
39th	adjective. the ordinal number of thirty-nine in counting order
3d	noun. a movie with images having three dimensional form or appearance | noun. having a three-dimensional form or appearance
3d radar	noun. radar that will report altitude as well as azimuth and distance of a target
3rd	adjective. coming next after the second and just before the fourth in position
3rd october organization	noun. a militant Marxist-Leninist terrorist organization formed in 1975 to force Turkey to acknowledge killing more than a million Armenians and forcibly removing them from border areas in 1915; wants Turkey to pay reparations and cede territory to Armenia
3tc	noun. a nucleoside reverse transcriptase inhibitor that is very effective in combination with zidovudine in treating AIDS and HIV
4	noun. the cardinal number that is the sum of three and one | adjective. being one more than three
4-dimensional	adjective. involving or relating to the fourth dimension or time
4-hitter	noun. a game in which a pitcher allows the opposing team 4 hits
4-membered	adjective. of a chemical compound having a ring with four members
40	noun. the cardinal number that is the product of ten and four | adjective. being ten more than thirty
400	adjective. being one hundred more than three hundred
400th	adjective. the ordinal number of four hundred in counting order
401-k	noun. a retirement savings plan that is funded by employee contributions and (often) matching contributions from the employer; contributions are made from your salary before taxes and the funds grow tax-free until they are withdrawn, at which point they can be converted into an IRA; funds can be transferred if you change employers and you can (to some extent) manage the investments yourself
401-k plan	noun. a retirement savings plan that is funded by employee contributions and (often) matching contributions from the employer; contributions are made from your salary before taxes and the funds grow tax-free until they are withdrawn, at which point they can be converted into an IRA; funds can be transferred if you change employers and you can (to some extent) manage the investments yourself
40th	adjective. the ordinal number of forty in counting order
41	adjective. being one more than forty
41st	adjective. the ordinal number of forty-one in counting order
42	adjective. being two more than forty
42nd	adjective. the ordinal number of forty-two in counting order
43	adjective. being three more than forty
43rd	adjective. the ordinal number of forty-three in counting order
44	adjective. being four more than forty
440 yards	noun. a unit of length equal to a quarter of 1 mile
44th	adjective. the ordinal number of forty-four in counting order
45	adjective. being five more than forty
45th	adjective. the ordinal number of forty-five in counting order
46	adjective. being six more than forty
46th	adjective. the ordinal number of forty-six in counting order
47	adjective. being seven more than forty
47th	adjective. the ordinal number of forty-seven in counting order
48	adjective. being eight more than forty
48th	adjective. the ordinal number of forty-eight in counting order
49	adjective. being nine more than forty
49th	adjective. the ordinal number of forty-nine in counting order
4th	adjective. coming next after the third and just before the fifth in position or time or degree or magnitude
4to	noun. the size of a book whose pages are made by folding a sheet of paper twice to form four leaves
4wd	noun. a motor vehicle with a four-wheel drive transmission system | noun. a transmission that provides power directly to all four wheels of a motor vehicle
5	noun. the cardinal number that is the sum of four and one | adjective. being one more than four
5-hitter	noun. a game in which a pitcher allows the opposing team 5 hits
5-hydroxy-3-methylglutaryl-coenzyme a reductase	noun. a liver enzyme that is responsible for producing cholesterol
5-hydroxytryptamine	noun. a neurotransmitter involved in e.g. sleep and depression and memory
5-membered	adjective. of a chemical compound having a ring with five members
50	noun. the cardinal number that is the product of ten and five | adjective. being ten more than forty
500	noun. the cardinal number that is the product of one hundred and five | adjective. denoting a quantity consisting of 500 items or units
500th	adjective. the ordinal number of five hundred in counting order
50th	adjective. the ordinal number of fifty in counting order
51	adjective. being one more than fifty
52	adjective. being two more than fifty
53	adjective. being three more than fifty
54	adjective. being four more than fifty
55	adjective. being five more than fifty
55th	adjective. the ordinal number of fifty-five in counting order
56	adjective. being six more than fifty
57	adjective. being seven more than fifty
58	adjective. being eight more than fifty
59	adjective. being nine more than fifty
5th	adjective. coming next after the fourth and just before the sixth in position
6	noun. the cardinal number that is the sum of five and one | adjective. denoting a quantity consisting of six items or units
6 june 1944	noun. date of the Allied landing in France, World War II
6-membered	adjective. of a chemical compound having a ring with six members
60	noun. the cardinal number that is the product of ten and six | adjective. being ten more than fifty
60 minutes	noun. a period of time equal to 1/24th of a day
60th	adjective. the ordinal number of sixty in counting order
61	adjective. being one more than sixty
62	adjective. being two more than sixty
63	adjective. being three more than sixty
64	adjective. being four more than sixty
64th	adjective. the ordinal number of sixty-four in counting order
65	adjective. being five more than sixty
65th	adjective. the ordinal number of sixty-five in counting order
66	adjective. being six more than sixty
67	adjective. being seven more than sixty
68	adjective. being eight more than sixty
69	adjective. being nine more than sixty
6th	adjective. coming next after the fifth and just before the seventh in position
7	noun. the cardinal number that is the sum of six and one | adjective. being one more than six
7-membered	adjective. of a chemical compound having a ring with seven members
70	noun. the cardinal number that is the product of ten and seven | adjective. being ten more than sixty
70th	adjective. the ordinal number of seventy in counting order
71	adjective. being one more than seventy
72	adjective. being two more than seventy
73	adjective. being three more than seventy
74	adjective. being four more than seventy
75	adjective. being five more than seventy
75th	adjective. the ordinal number of seventy-five in counting order
76	adjective. being six more than seventy
77	adjective. being seven more than seventy
78	noun. the cardinal number that is the sum of seventy and eight | noun. a shellac based phonograph record that played at 78 revolutions per minute | adjective. being eight more than seventy
79	adjective. being nine more than seventy
7th	adjective. coming next after the sixth and just before the eighth in position
8	noun. the cardinal number that is the sum of seven and one | adjective. being one more than seven
8 may 1945	noun. the date of Allied victory in Europe, World War II
8-membered	adjective. of a chemical compound having a ring with eight members
80	noun. the cardinal number that is the product of ten and eight | adjective. being ten more than seventy
80th	adjective. the ordinal number of eighty in counting order
81	adjective. being one more than eighty
82	adjective. being two more than eighty
83	adjective. being three more than eighty
84	adjective. being four more than eighty
85	adjective. being five more than eighty
85th	adjective. the ordinal number of eighty-five in counting order
86	adjective. being six more than eighty
87	adjective. being seven more than eighty
88	adjective. being eight more than eighty
880 yards	noun. a unit of length equal to half of 1 mile
89	adjective. being nine more than eighty
8th	adjective. coming next after the seventh and just before the ninth in position
8vo	noun. the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
9	noun. the cardinal number that is the sum of eight and one | adjective. denoting a quantity consisting of one more than eight and one less than ten
9-11	noun. the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs
9-membered	adjective. of a chemical compound having a ring with nine members
9/11	noun. the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs
90	noun. the cardinal number that is the product of ten and nine | adjective. being ten more than eighty
90th	adjective. the ordinal number of ninety in counting order
91	adjective. being one more than ninety
92	adjective. being two more than ninety
93	adjective. being three more than ninety
94	adjective. being four more than ninety
95	adjective. being five more than ninety
95th	adjective. the ordinal number of ninety-five in counting order
96	adjective. being six more than ninety
97	adjective. being seven more than ninety
98	adjective. being eight more than ninety
99	adjective. being one less than one hundred and nine more than ninety
9th	adjective. coming next after the eighth and just before the tenth in position
a	noun. a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation | noun. any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes | noun. one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
a battery	noun. the battery used to heat the filaments of a vacuum tube
a bit	adverb. to a small degree; somewhat
a capella	adjective. sung without instrumental accompaniment | adverb. without musical accompaniment
a capella singing	noun. singing without instrumental accompaniment
a cappella	adjective. sung without instrumental accompaniment | adverb. without musical accompaniment
a cappella singing	noun. singing without instrumental accompaniment
a couple of	adjective. more than one but indefinitely small in number
a few	adjective. more than one but indefinitely small in number
a fortiori	adverb. with greater reason; for a still stronger, more certain reason
a good deal	adverb. to a very great degree or extent
a great deal	adverb. to a very great degree or extent | adverb. frequently or in great quantities
a horizon	noun. the top layer of a soil profile; usually contains humus
a hundred times	adverb. by a factor of one hundred
a kempis	noun. German ecclesiastic (1380-1471)
a la carte	noun. a menu having individual dishes listed with separate prices | adjective. (of a restaurant meal) having unlimited choices with a separate price for each item | adverb. by ordering items listed individually on a menu
a la mode	adjective. in the current fashion or style | adverb. with ice cream on top or on the side
a level	noun. the advanced level of a subject taken in school (usually two years after O level)
a little	adverb. to a small degree; somewhat
a lot	adverb. to a very great degree or extent
a million times	adverb. by a factor of a million
a posteriori	adjective. involving reasoning from facts or particulars to general principles or from effects to causes | adjective. requiring evidence for validation or support | adverb. derived from observed facts
a priori	adjective. involving deductive reasoning from a general principle to a necessary effect; not supported by fact | adjective. based on hypothesis or theory rather than experiment | adverb. derived by logic, without observed facts
a trifle	adverb. to a small degree; somewhat
a'man	noun. the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet
a-bomb	noun. a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239)
a-horizon	noun. the top layer of a soil profile; usually contains humus
a-line	noun. women's clothing that has a fitted top and a flared skirt that is widest at the hemline
a-list	noun. a list of names of specially favored people
a-ok	adjective. in perfect condition or order
a-okay	adjective. in perfect condition or order
a-one	adjective. of the highest quality
a-scan ultrasonography	noun. the use of ultrasonography to measure the length of the eyeball
a-team	noun. a group of elite soldiers or a leadership group of advisors or workers in an organization
a. a. michelson	noun. United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931)
a. a. milne	noun. English writer of stories for children (1882-1956)
a. conan doyle	noun. British author who created Sherlock Holmes (1859-1930)
a. e. burnside	noun. United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881)
a. e. housman	noun. English poet (1859-1936)
a. e. kennelly	noun. United States electrical engineer noted for his work on the theory of alternating currents; independently of Oliver Heaviside he discovered the existence of an atmospheric layer that reflects radio waves back to earth (1861-1939)
a. e. w. mason	noun. English writer (1865-1948)
a. noam chomsky	noun. United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928)
a. testudineus	noun. a small perch of India whose gills are modified to allow it to breathe air; has spiny pectoral fins that enable it to travel on land
a.d.	adverb. in the Christian era; used before dates after the supposed year Christ was born
a.e.	noun. Irish writer whose pen name was A.E. (1867-1935)
a.k.a.	adverb. as known or named at another time or place
a.m.	adjective. before noon | adverb. before noon
a/c	noun. an appliance designed to extract humidity from the air and thereby cool it
aa	noun. a dry form of lava resembling clinkers | noun. an international organization that provides a support group for persons trying to overcome alcoholism | noun. an associate degree in arts
aaa	noun. an aneurysm of the abdominal aorta associated with old age and hypertension
aachen	noun. a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
aah	verb. express admiration and pleasure by uttering `ooh' or `aah'
aaland islands	noun. an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control
aalborg	noun. a city and port in northern Jutland
aalii	noun. a small Hawaiian tree with hard dark wood
aalst	noun. a town in central Belgium
aalto	noun. Finnish architect and designer of furniture (1898-1976)
aar	noun. a river in north central Switzerland that runs northeast into the Rhine
aardvark	noun. nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardwolf	noun. striped hyena of southeast Africa that feeds chiefly on insects
aare	noun. a river in north central Switzerland that runs northeast into the Rhine
aare river	noun. a river in north central Switzerland that runs northeast into the Rhine
aarhus	noun. port city of Denmark in eastern Jutland
aaron	noun. United States professional baseball player who hit more home runs than Babe Ruth (born in 1934) | noun. (Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
aaron burr	noun. United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)
aaron copland	noun. United States composer who developed a distinctly American music (1900-1990)
aaron montgomery ward	noun. United States businessman who in 1872 established a successful mail-order business (1843-1913)
aaron's rod	noun. tall-stalked very woolly mullein with densely packed yellow flowers; ancient Greeks and Romans dipped the stalks in tallow for funeral torches
aarp	noun. an association of people to promote the welfare of senior citizens
aas	noun. an associate degree in applied science
aave	noun. a nonstandard form of American English characteristically spoken by African Americans in the United States
ab	noun. a bachelor's degree in arts and sciences | noun. the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August) | noun. the muscles of the abdomen
ab initio	adverb. at the beginning
aba	noun. a loose sleeveless outer garment made from aba cloth; worn by Arabs | noun. a fabric woven from goat hair and camel hair
aba transit number	noun. an identification number consisting of a two-part code assigned to banks and savings associations; the first part shows the location and the second identifies the bank itself
abaca	noun. a kind of hemp obtained from the abaca plant in the Philippines | noun. Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abacinate	verb. blind by holding a red-hot metal plate before someone's eyes
aback	adverb. having the wind against the forward side of the sails | adverb. by surprise
abactinal	adjective. (of radiate animals) located on the surface or end opposite to that on which the mouth is situated
abacus	noun. a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave | noun. a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abadan	noun. a port city in southwestern Iran
abaft	adverb. at or near or toward the stern of a ship or tail of an airplane
abalone	noun. any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abamp	noun. a unit of current equal to 10 amperes
abampere	noun. a unit of current equal to 10 amperes
abandon	noun. the trait of lacking restraint or control; reckless freedom from inhibition or worry | noun. a feeling of extreme emotional intensity | verb. forsake, leave behind
abandoned	adjective. forsaken by owner or inhabitants | adjective. unrestrained and uninhibited
abandoned infant	noun. a child who has been abandoned and whose parents are unknown
abandoned person	noun. someone for whom hope has been abandoned
abandoned ship	noun. a ship abandoned on the high seas
abandonment	noun. the act of giving something up | noun. withdrawing support or help despite allegiance or responsibility | noun. the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abarticulation	noun. dislocation of a joint
abase	verb. cause to feel shame; hurt the pride of
abasement	noun. a low or downcast state | noun. depriving one of self-esteem
abash	verb. cause to be embarrassed; cause to feel self-conscious
abashed	adjective. feeling or caused to feel ill at ease or self-conscious or ashamed
abashment	noun. feeling embarrassed due to modesty
abasia	noun. inability to walk
abasia trepidans	noun. abasia due to trembling of the legs
abasic	adjective. of or relating to abasia (inability to walk)
abatable	adjective. capable of being abated
abatable nuisance	noun. a nuisance that can remedied (suppressed or extinguished or rendered harmless)
abate	verb. make less active or intense | verb. become less in amount or intensity
abatement	noun. an interruption in the intensity or amount of something | noun. the act of abating
abatement of a nuisance	noun. (law) the removal or termination or destruction of something that has been found to be a nuisance
abatic	adjective. of or relating to abasia (inability to walk)
abatis	noun. a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abator	noun. a person who abates a nuisance
abattis	noun. a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abattoir	noun. a building where animals are butchered
abaxial	adjective. facing away from the axis of an organ or organism
abaxially	adverb. in an abaxial manner
abaya	noun. (Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
abb	noun. an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s
abbacy	noun. the jurisdiction or office of an abbot
abbatial	adjective. of or having to do with or belonging to an abbey or abbot, or abbess
abbe	noun. a French abbot
abbe condenser	noun. a condenser having 2 or 3 lenses with wide aperture for use in microscopes
abbess	noun. the superior of a group of nuns
abbey	noun. a church associated with a monastery or convent | noun. a convent ruled by an abbess | noun. a monastery ruled by an abbot
abbot	noun. the superior of an abbey of monks
abbott lawrence lowell	noun. United States educator and president of Harvard University (1856-1943)
abbreviate	verb. reduce in scope while retaining essential elements | verb. shorten
abbreviated	adjective. (of clothing) very short | adjective. cut short in duration
abbreviation	noun. a shortened form of a word or phrase | noun. shortening something by omitting parts of it
abbreviator	noun. one who shortens or abridges or condenses a written work
abc	noun. the elementary stages of any subject (usually plural)
abc's	noun. the elementary stages of any subject (usually plural)
abcoulomb	noun. a unit of electrical charge equal to 10 coulombs
abcs	noun. the elementary stages of any subject (usually plural)
abdias	noun. a Hebrew minor prophet | noun. an Old Testament book telling Obadiah's prophecies; the shortest book in the Christian Bible
abdicable	adjective. capable of being discarded or renounced or relinquished
abdicate	verb. give up, such as power, as of monarchs and emperors, or duties and obligations
abdication	noun. a formal resignation and renunciation of powers | noun. the act of abdicating
